Word	Part of Speech	Definition	Example Sentence	Korean Translation	Chinese Translation
Abundance	Noun	A very large quantity of something.	There is an abundance of food at the buffet.	풍부함	丰富
Adventurous	Adjective	Willing to take risks or try new things.	She has an adventurous spirit and loves to explore new places.	모험적인	冒险的
Aloof	Adjective	Not friendly or forthcoming; cool and distant.	He seemed aloof and uninterested in the conversation.	냉담한	冷漠的
Ambiguous	Adjective	Having more than one meaning.	Her reply was ambiguous, so I wasn't sure what she meant.	모호한	模棱两可的
Ambitious	Adjective	Having or showing a strong desire and determination to succeed.	He's an ambitious young man who wants to start his own business.	야심찬	有雄心的
Anxious	Adjective	Feeling or showing worry and nervousness.	I felt anxious about the upcoming exam.	불안한	焦虑的
Anxiously	Adverb	In an anxious manner.	She waited anxiously for the results.	불안하게	焦虑地
Apathetic	Adjective	Showing or feeling no emotion; indifferent.	He was apathetic towards the suffering of others.	무관심한	冷漠的
Assertive	Adjective	Having or showing a confident and forceful personality.	She spoke in an assertive tone, making her point clear.	단정한/자기주장이 강한	自信的/断定的
Attributes	Noun	A quality or feature regarded as a characteristic or inherent part of something.	Honesty is one of his best attributes.	속성	属性
Benevolent	Adjective	Well meaning and kindly.	A benevolent king ruled the land.	자비로운	仁慈的
Calligraphy	Noun	The art of beautiful handwriting.	He practiced calligraphy every day.	서예	书法
Candid	Adjective	Truthful and straightforward.	She gave a candid assessment of the situation.	솔직한	坦诚的
Cellar	Noun	A room or area under the ground floor of a building.	The wine is stored in the cellar.	지하실	地窖
Collection	Noun	A group of things gathered together.	He has a large collection of stamps.	수집품	收藏
Comfort	Noun	A state of physical ease and freedom from discomfort or pain.	The soft blanket provided comfort on the cold night.	편안함	舒适
Compassionate	Adjective	Feeling or showing sympathy and concern for others.	She is a compassionate nurse who cares deeply for her patients.	동정심 많은	富有同情心的
Conscientious	Adjective	Wishing to do what is right, especially to do one's work well.	He is a conscientious student who always does his homework.	양심적인	认真的
Cordial	Adjective	Friendly, warm, and welcoming.	The host gave us a cordial welcome.	따뜻한/화기애애한	友好的/热情的
Cooking	Noun	The practice or skill of preparing food by combining, heating, and mixing different ingredients.	Cooking is her favorite hobby.	요리	烹饪
Cycling	Noun	The activity of riding a bicycle.	Cycling is a good way to exercise.	자전거 타기	骑自行车
Cynical	Adjective	Believing that people are motivated purely by self-interest.	He had a cynical view of the world.	냉소적인	愤世嫉俗的
Declining	Adjective	Becoming less; decreasing.	The company's profits are declining.	감소하는	下降的
Depresses	Verb	Make someone feel very sad and without enthusiasm.	The news depressed him.	낙담시키다	使沮丧
Discreet	Adjective	Careful and circumspect in speech or behavior.	Be discreet when discussing confidential matters.	신중한	谨慎的
Diplomatic	Adjective	Skilled in dealing with sensitive matters or people.	A diplomatic solution was needed to resolve the conflict.	외교적인	外交的
Doorknob	Noun	A knob on a door used for opening and closing.	The doorknob was loose.	문고리	门把手
Drawing	Noun	The act of making a picture with a pencil, pen, or crayon.	Drawing is a relaxing hobby.	그림 그리기	绘画
Eager	Adjective	Having keen interest or intense desire.	He was eager to learn more about the subject.	열렬한	渴望的
Elicit	Verb	Evoke or draw out a response from someone.	The teacher tried to elicit responses from the students.	(반응을) 이끌어내다	引出
Eloquent	Adjective	Fluent or persuasive in speaking or writing.	She gave an eloquent speech.	웅변적인	雄辩的
Empathetic	Adjective	Showing an ability to understand and share the feelings of another.	She is an empathetic friend who always listens to my problems.	공감하는	有同理心的
Evasive	Adjective	Tending to avoid commitment or self-revelation.	He gave evasive answers to the questions.	회피적인	闪烁其词的/回避的
Fervent	Adjective	Showing or feeling great intensity of emotion.	She has a fervent belief in her religion.	열렬한	热烈的
Foreground	Noun	The part of a view nearest the observer.	The flowers are in the foreground of the picture.	전경	前景
Forum	Noun	A place where ideas and views are exchanged.	The online forum is a place for discussion.	포럼/토론회	论坛
Gardening	Noun	The activity of tending and cultivating a garden.	Gardening is a relaxing pastime.	정원 가꾸기	园艺
